cert,year,uninum,county_fips,deposits_kusd
873,2010,461370.0,13051,26823
873,2010,461371.0,13051,21323
873,2010,461379.0,01073,117816
873,2010,462467.0,13073,93473
873,2010,463126.0,12115,28043
873,2010,464800.0,12131,18100
873,2010,464968.0,47149,5363
873,2010,465797.0,47157,7799
873,2010,466297.0,47065,19629
873,2010,466767.0,12071,14290
873,2010,467238.0,12031,15635
873,2010,467506.0,12113,15055
873,2010,468421.0,12103,148018
873,2010,468530.0,12073,11950
873,2010,469120.0,45079,21721
873,2010,469468.0,13285,11615
873,2010,469477.0,01003,45894
873,2010,469478.0,01097,71157
873,2010,469487.0,13121,31504
873,2010,470767.0,12101,10057
873,2010,470781.0,13097,59277
873,2010,470791.0,47037,49637
873,2010,472659.0,13117,34701
873,2010,472699.0,47157,4973
873,2010,474014.0,12071,31336
873,2010,477428.0,12019,7254
873,2010,478320.0,12113,15529
873,2010,478812.0,13051,21763
873,2010,479948.0,12031,17605
873,2010,482174.0,12115,9975
873,2010,482381.0,01097,19281
873,2010,482616.0,47065,7984
873,2010,483138.0,13177,93523
873,2010,483146.0,13089,20904
873,2010,491166.0,13127,56763
873,2010,491612.0,01069,12064
873,2010,493272.0,45019,32430
873,2010,494814.0,01113,4818
35583,2010,42478.0,47149,492757
35583,2010,81670.0,47189,25089
35583,2010,82012.0,47037,1163536
35583,2010,276635.0,47003,50059
35583,2010,276637.0,47149,12025
35583,2010,276638.0,47149,25280
35583,2010,276639.0,47149,51747
35583,2010,276640.0,47149,55369
35583,2010,356490.0,47149,19760
35583,2010,358590.0,47189,95246
35583,2010,360670.0,47187,83159
35583,2010,362594.0,47021,102166
35583,2010,362602.0,47189,28559
35583,2010,365361.0,47037,104375
35583,2010,418783.0,47037,133584
35583,2010,419236.0,47043,40970
35583,2010,419556.0,47149,27662
35583,2010,419806.0,47149,71435
35583,2010,423016.0,47187,238836
35583,2010,423106.0,47187,68752
35583,2010,427750.0,47189,7782
35583,2010,431720.0,47037,136809
35583,2010,438932.0,47187,51806
35583,2010,443463.0,47165,77566
35583,2010,449793.0,47189,153901
35583,2010,452110.0,47187,30471
35583,2010,461756.0,47037,30837
35583,2010,466479.0,47093,275297
35583,2010,469945.0,47037,11791
35583,2010,473709.0,47037,185697
35583,2010,498650.0,47093,28681
35583,2010,500165.0,47037,16589
35583,2010,500307.0,47093,7970
35583,2010,508305.0,47037,14039
873,2011,152.0,13275,188988
