fips,county_name,state_name,popestimate2020,popestimate2025,domesticmig_2021_2025,netmig_2021_2025,births_2021_2025,deaths_2021_2025
13015,Bartow County,Georgia,109283,120800,9806,10629,6770,5974
13017,Ben Hill County,Georgia,17166,17099,112,193,1035,1299
13019,Berrien County,Georgia,18143,18932,853,875,1158,1268
13021,Bibb County,Georgia,157054,157556,-601,791,10076,10290
13023,Bleckley County,Georgia,12515,12866,567,567,688,896
13025,Brantley County,Georgia,18046,18936,1084,1153,940,1212
13027,Brooks County,Georgia,16271,16101,61,300,740,1203
13029,Bryan County,Georgia,45048,52062,5361,5835,3115,1884
13031,Bulloch County,Georgia,79919,86949,5403,5903,4368,3447
13033,Burke County,Georgia,24632,24408,3,8,1238,1461
13035,Butts County,Georgia,25549,27218,1864,1934,1432,1696
13037,Calhoun County,Georgia,5572,5413,-76,-68,262,351
13039,Camden County,Georgia,54928,60143,3813,3948,3640,2443
13043,Candler County,Georgia,11036,11275,443,464,676,907
13045,Carroll County,Georgia,119394,131036,8933,10499,8043,7093
13047,Catoosa County,Georgia,68034,69628,2441,2543,2994,3973
13049,Charlton County,Georgia,12527,13121,839,826,613,829
13051,Chatham County,Georgia,295113,311855,4796,13570,17895,15128
13053,Chattahoochee County,Georgia,9468,8465,-1807,-1647,839,191
13055,Chattooga County,Georgia,24927,25300,983,1185,1240,2070
13057,Cherokee County,Georgia,268142,299273,22290,27065,14601,10620
13059,Clarke County,Georgia,128595,129921,-4438,-757,6734,4614
13061,Clay County,Georgia,2830,2815,74,83,124,216
13063,Clayton County,Georgia,299345,297471,-13951,-7799,16838,11035
13065,Clinch County,Georgia,6729,6847,-11,95,461,437
13067,Cobb County,Georgia,766385,793345,-18165,9491,43952,26384
13069,Coffee County,Georgia,43048,44407,381,985,2809,2448
13071,Colquitt County,Georgia,45908,47438,-273,1437,3012,2914
13073,Columbia County,Georgia,156860,169189,8200,10088,8422,6177
13075,Cook County,Georgia,17238,18232,652,988,1115,1124
13077,Coweta County,Georgia,146746,160240,10381,12141,8249,6931
13079,Crawford County,Georgia,12093,12206,609,626,374,896
13081,Crisp County,Georgia,20058,19237,-498,-399,1157,1581
13083,Dade County,Georgia,16233,16154,320,330,701,1102
13085,Dawson County,Georgia,27062,35365,7736,7956,1870,1586
